iter	Passed	Remaining
0	2	219
1	4	204
2	6	198
3	7	190
4	9	183
5	11	178
6	13	176
7	15	173
8	16	168
9	18	162
10	19	161
11	21	161
12	23	158
13	25	156
14	27	156
15	29	153
16	31	151
17	32	149
18	34	147
19	36	147
20	38	145
21	40	145
22	42	142
23	44	140
24	46	138
25	47	135
26	49	134
27	52	133
28	53	131
29	55	129
30	57	128
31	59	127
32	62	126
33	64	124
34	66	122
35	67	120
36	69	117
37	70	115
38	73	114
39	74	112
40	76	110
41	78	108
42	80	106
43	81	103
44	83	101
45	85	100
46	87	98
47	88	96
48	90	94
49	92	92
50	94	90
51	95	88
52	97	86
53	99	84
54	101	82
55	103	80
56	104	79
57	106	76
58	108	75
59	110	73
60	112	71
61	113	69
62	115	67
63	117	66
64	119	64
65	121	62
66	123	60
67	124	58
68	126	57
69	128	55
70	130	53
71	132	51
72	133	49
73	135	47
74	137	45
75	139	44
76	141	42
77	142	40
78	142	38
79	144	36
80	145	34
81	147	32
82	149	30
83	150	28
84	152	26
85	154	25
86	156	23
87	157	21
88	159	19
89	160	17
90	162	16
91	164	14
92	165	12
93	167	10
94	169	8
95	173	7
96	174	5
97	176	3
98	178	1
99	180	0
